SRA,Name,Sample Name,ID,Sequencing Library,SampleID,Sample_type,Sequencing_type,Mean_phred_score,Raw_paired_reads,QC_trimmed_paired_reads,Nonhost_paired_reads,Collectors
SRR4425709,SRR4425709,BeefMetagenomeUMIC,BeefC,BFe2_L005,A,Beef,Metagenome-UMI,34.78,54462805,52364560,52290061,MW  ED
SRR4425679,SRR4425679,PoultryMetagenomeUMIA,PoultryA,AFe25_L008,B,Poultry,Metagenome-UMI,34.25,33303038,30958144,30916548,MW  CY
SRR4425680,SRR4425680,PoultryMetagenomeUMIB,PoultryB,AFe20_L007,C,Poultry,Metagenome-UMI,34.95,43497401,42138167,42103705,ED  PR
SRR4425677,SRR4425677,PoultryMetagenomeUMIC,PoultryC,AFe9_L006,D,Poultry,Metagenome-UMI,34.6,38694721,37016992,37001221,ED  PR
SRR4425678,SRR4425678,PoultryMetagenomeUMID,PoultryD,AFe1_L005,E,Poultry,Metagenome-UMI,34.49,36555838,34435814,34421860,MW  CY
SRR4425671,SRR4425671,WWTPMetagenomeUMIA,WWTPA,HBHw1_L005,F,WWTP,Metagenome-UMI,34.82,44691836,43152838,43152198,MW  ER
SRR4425672,SRR4425672,WWTPMetagenomeUMIB,WWTPB,HBHw2_L006,G,WWTP,Metagenome-UMI,34.92,43479790,41851952,41851299,MW  ER
SRR4425717,SRR4425717,WWTPMetagenomeUMIC,WWTPC,HBHw3_L007,H,WWTP,Metagenome-UMI,34.75,43349827,41790441,41789704,MW  ER
SRR4425716,SRR4425716,WWTPMetagenomeUMID,WWTPD,HBHw4_L008,I,WWTP,Metagenome-UMI,34.65,39871049,38259800,38259025,MW  ER
SRR4425708,SRR4425708,BeefMetagenomeUMID,BeefD,BFe39_L008,J,Beef,Metagenome-UMI,34.55,42744420,40865847,40764791,MW  ED
SRR4425707,SRR4425707,BeefMetagenomeUMIA,BeefA,BFe11_L006,K,Beef,Metagenome-UMI,34.75,65376754,62733325,62699274,MW  ED
SRR4425693,SRR4425693,BeefMetagenomeUMIB,BeefB,BFe13_L007,L,Beef,Metagenome-UMI,34.77,43373821,41898475,41785530,MW  ED
SRR4425675,SRR4425675,SwineMetagenomeUMIA,SwineA,PFe16_L006,M,Swine,Metagenome-UMI,34.16,51769179,48149791,47191516,MW  ED  PR
SRR4425676,SRR4425676,SwineMetagenomeUMIB,SwineB,PFe37_L008,N,Swine,Metagenome-UMI,34.81,62965257,60608891,59447890,MW  ED  PR
SRR4425673,SRR4425673,SwineMetagenomeUMIC,SwineC,PFe13_L005,O,Swine,Metagenome-UMI,34.9,52672177,50868185,49991411,MW  ED  PR
